Dnum,Country,State,County,Age,Formation,Stage,Age_Date,AmmoniteZone,LocDescr,Resume_of_Fauna,IndexFossil,Collector,Date,EandR,Map,USGS7.5,Lat_Pub,Long_Pub,Reference,Comments,last_modified,Orig_Resume_Fauna,FieldNum
687,USA,CO,El Paso,Cretaceous,Upper part of Pierre shale .,"Maastrichtian, Lower. ",69.17,Baculites  clinolobatus,"Beside road 0.5 mile south of Woodmen, near center of south line of the SW1/4SE1/4 sec. 3,T.13 S.,R.67 W.  Colorado","Terebratula ,Geltena ",,D.Varnes,         12/11/55,,Colorado Springs,Pikeview,38.9407,-104.8745,MAP I-1627,,2/10/2014,"Terebratula ,Geltena ",
1699,USA,CO,El Paso,Cretaceous,Topof yel-brown sandstone Middle of Fox Hills?,"Maastrichtian, Lower. ",69.17,Baculites  clinolobatus,"NE 1/4 sec.10, T.13S., R.67W.  south of Woodmen.",Ostrea,,G.R. Scott,1/18/1958,,Pikeview ,Pikeview,38.937,-104.8703,"MAP I-1627, ",,2/11/2014,Ostrea,
1702,USA,CO,El Paso,Cretaceous,Pierre shale. Fr. Gray sandstone Bed in limy conc.,"Maastrichtian, Lower. ",69.17,Baculites  clinolobatus,"NE1/4 NE1/4 sec. 10, T. 13 S., R. 67 W. S. of Woodmen Lodge.",Baculites,Didymoceras nebrascense,G.R. Scott,1/18/1958,,Pikeview ,Pikeview,38.9377,-104.8721,"MAP I-1627, ",,2/11/2014,Baculites,
1712,USA,CO,El Paso,  Cretaceous,Pierre dk gray sdy shale.,"Maastrichtian, Lower. ",69.17,Baculites  clinolobatus,"NW1/4 sec. 31, T. 13 S., R. 66 W.",Baculites  clinolobatus,,G.R. Scott,2/28/1958,,Colorado Springs,Pikeview,38.8794,-104.8273,"MAP I-1627,",,2/11/2014,Baculites  clinolobatus,
4158,USA,CO,El Paso,Cretaceous,"Pierre Shale, slightly lower than 12 (D4156); same level as 11","Maastrichtian, Lower. ",69.17,Baculites clinolobatus,"SE1/4 NW1/4 SE1/4 sec. 1, T. 15 S., R. 65 W.",Cymbophora holmesi (Meek),,Paul Soister,1963,,,,38.7709,-104.61455,MAP I-1627,,2/11/2014,Cymbophora holmesi (Meek),
4159,USA,CO,El Paso,Cretaceous,"Pierre Shale, higher than 12 (D4156);","Maastrichtian, Lower. ",69.17,Baculites clinolobatus,"NW1/4 NW1/4 NW1/4 sec. 7, T. 15 S., R. 64 W.",Cymbophora holmesi (Meek),,Paul Soister,1963,,,,38.76574,-104.60732,MAP I-1627,,2/11/2014,Cymbophora holmesi (Meek),
4160,USA,CO,El Paso,Cretaceous,"Pierre Shale, upper part","Maastrichtian, Lower. ",69.17,Baculites clinolobatus,"NW1/4 NW1/4 SW1/4 sec. 1, T. 15 S., R. 65 W.","Inoceramus fibrosus (Meek & Hayden), Pholadomya sp., Cymbophora holmesi (Meek), Baculites sp.",,Paul Soister,1963,,,,38.74392,-104.6629,MAP I-1627,,2/11/2014,"Inoceramus fibrosus (Meek & Hayden), Pholadomya sp., Cymbophora holmesi (Meek), Baculites sp.",
4161,USA,CO,El Paso,Cretaceous,Brown fine - grained sandstone,"Maastrichtian, Lower. ",69.17,Baculites clinolobatus,"Center E1/2 SW1/4 NW1/4 sec. 31, T. 14 S., R. 64 W.","Ostrea sp., Tellina sp., Cymbophora warrenana (Meek & Hayden), Corbicula? Sp., Dentalium sp.",,Paul Soister,1963,,,,38.78987,-104.6004,MAP I-1627,,2/11/2014,"Ostrea sp., Tellina sp., Cymbophora warrenana (Meek & Hayden), Corbicula? Sp., Dentalium sp.",
5295,USA,CO,El Paso,Cretaceous,Upper part of Pierre Shale,"Maastrichtian, Lower. ",69.17,Baculites clinolobatus,"SE¼SE¼ sec. 1 , T. 15 S., R. 65 W.","Inoceramus fibrosus (Meek and Hayden), Cymbophora holmesi (Meek), Baculites cf. B. clinolobatus Elias",,Paul E. Soister,1965,CD-66-10D,Corral Bluffs,,38.76828,-104.61122,MAP I-1627,,2/11/2014,"Inoceramus fibrosus (Meek and Hayden), Cymbophora holmesi (Meek), Baculites cf. B. clinolobatus Elias",
8724,USA,CO ,El Paso,Cretaceous,Pierre shale,"Maastrichtian, Lower. ",69.17,Baculites clinolobatus,"SW1/4 NE1/4 sec. 34, T. 14S., R. 65W.",Baculites clinolobatus,,G.R. Scott,9/16/1971,,Elsmere,,38.79009,-104.65292,"MAP I-1627, I 937",,2/11/2014,,
