Locality,Sample,mab,Latitude,Longitude,Geologic Unit(s),Fossil,Fossil Subgroup,Fossil Unit,Reference,Period,Epoch,Age,projectName,Sample Collector
AMNH 21,AMNH 21,n/a,31.8582,-104.8207,Getaway Limestone,Invertebrate,Brachiopod,Cartorhium retusum,Cooper and Grant (1977),Permian,Guadalupian,Roadian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 21,AMNH 21,n/a,31.8582,-104.8207,Getaway Limestone,Invertebrate,Brachiopod,Cyclacantharia kingorum,Cooper and Grant (1977),Permian,Guadalupian,Roadian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 21,AMNH 21,n/a,31.8582,-104.8207,Getaway Limestone,Invertebrate,Brachiopod,Derbyia sp.,Cooper and Grant (1977),Permian,Guadalupian,Roadian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 21,AMNH 21,n/a,31.8582,-104.8207,Getaway Limestone,Invertebrate,Brachiopod,Dielasma pictile,Cooper and Grant (1977),Permian,Guadalupian,Roadian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 21,AMNH 21,n/a,31.8582,-104.8207,Getaway Limestone,Invertebrate,Brachiopod,Dyoros (Dyoros) convexus,Cooper and Grant (1977),Permian,Guadalupian,Roadian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 21,AMNH 21,n/a,31.8582,-104.8207,Getaway Limestone,Invertebrate,Brachiopod,Dyoros (Tetragonetes) complanatus,Cooper and Grant (1977),Permian,Guadalupian,Roadian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 21,AMNH 21,n/a,31.8582,-104.8207,Getaway Limestone,Invertebrate,Brachiopod,Echinauris productelloides,Cooper and Grant (1977),Permian,Guadalupian,Roadian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 21,AMNH 21,n/a,31.8582,-104.8207,Getaway Limestone,Invertebrate,Brachiopod,Echinosteges tuberculatus,Cooper and Grant (1977),Permian,Guadalupian,Roadian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 21,AMNH 21,n/a,31.8582,-104.8207,Getaway Limestone,Invertebrate,Brachiopod,Eolyttonia progressa,Cooper and Grant (1977),Permian,Guadalupian,Roadian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
AMNH 21,AMNH 21,n/a,31.8582,-104.8207,Getaway Limestone,Invertebrate,Brachiopod,Geyerella sp. 2,Cooper and Grant (1977),Permian,Guadalupian,Roadian,"Guadalupe Peak 1:100,000 Quadrangle, West Texas",Richard E. Grant
